4908;7257;3
6108;2687;4
7446;3389;10
6398;1478;2
4880;8354;2
9236;8603;8
1026;3134;7
5660;300;2
5027;1736;5
4444;8835;2
3024;6686;5
8844;7897;8
3221;207;10
1650;2914;5
4893;746;8
3621;7533;9
7787;3445;4
3633;7048;4
8090;6615;9
3309;5967;10
9589;8372;1
3677;3755;9
1801;2794;8
1446;4876;9
6428;6800;2
283;2352;5
9300;4789;2
8187;7282;6
6841;5667;1
4576;6028;8
5389;4767;4
1386;9186;2
3947;2695;6
3886;6038;6
8996;8086;4
6607;5998;4
3497;8684;3
2344;8696;9
9264;1699;10
2773;5751;1
7743;7520;7
7323;4043;4
9287;5113;8
7364;4724;5
3081;5599;5
5186;1911;5
8356;8974;1
4828;7254;8
3487;1383;6
983;5612;1
4965;6105;8
4667;5372;4
4418;2503;7
93;9825;6
9648;239;4
6813;2517;8
6568;2515;1
1468;9642;1
9966;8678;10
4058;3849;6
8458;6539;3
5383;6770;3
3098;4469;7
1158;9215;6
536;2282;5
7546;4279;10
7868;8216;4
6921;2587;4
6350;4991;7
6708;3677;5
7746;2846;9
4074;9439;6
4682;5627;1
7772;6026;8
854;3365;8
5269;3240;2
2640;7904;8
47;3611;2
1847;3397;1
8043;7240;5
7479;46;8
8894;4842;3
8671;710;10
2568;5152;9
2005;1083;5
248;5356;10
5980;4061;4
2894;9358;1
543;8892;5
8667;5791;1
2632;4557;9
5830;1735;2
3405;6703;10
1466;5877;2
5066;147;8
9315;9640;3
9698;4681;5
4397;6759;5
917;9647;1
6189;1292;2
7397;4212;1
5904;7201;2
8107;8999;10
9822;3423;7
234;7556;6
8252;223;3
5385;4778;8
3365;9177;2
2993;6796;9
5931;2771;9
7716;790;10
9605;6764;3
818;807;4
457;7540;9
3017;7248;7
8578;3155;4
8567;2135;1
157;24;5
7394;4341;6
9538;4607;3
4138;3586;2
6621;3245;5
5467;510;4
2417;6963;10
968;2377;7
486;3483;6
1204;4050;7
2077;1744;7
5761;8631;7
6586;3531;6
2872;4255;4
1072;6882;10
5234;8341;4
2197;5592;1
7296;1859;3
9964;5413;2
3340;3890;9
3822;3948;8
1571;3735;4
2239;5333;9
5519;6391;4
2149;3292;6
5568;8378;5
7265;2039;4
6606;53;4
7679;8590;10
1860;5426;2
8512;2756;6
5969;2909;7
9973;9316;1
6772;6971;5
44;9211;1
3285;4804;6
3655;4608;1
3691;7861;9
601;4147;1
6040;99;7
7966;6589;10
1862;5241;6
8528;2064;8
3202;9757;10
4473;2739;6
8887;4916;2
2333;7570;1
1378;6180;9
2002;5950;8
6776;7832;1
2003;420;4
7692;9917;1
7186;1447;7
2176;773;10
9085;6269;2
6143;8656;6
8026;4487;10
9788;4962;5
9226;749;9
5999;4590;8
7890;2792;3
6355;481;8
1881;6182;7
5685;7379;1
4;3964;7
385;6894;2
941;8706;9
660;6930;1
6119;925;6
9092;6162;8
3304;2174;6
7894;6663;6
998;3660;9
2312;8721;9
2758;7565;1
9579;9317;10
6318;8043;1
5221;1351;7
7833;7538;10
2988;2693;5
5828;8929;1
4605;6659;8
4157;5921;6
2551;298;1
8289;6716;9
4686;8647;10
241;1127;4
559;2468;5
9865;4755;1
5086;9997;4
1125;4127;9
3111;9400;4
7654;9926;1
6043;6093;5
2300;3309;10
4400;7017;1
3631;1155;3
7235;2212;1
6596;6998;9
8890;9159;9
8340;1193;2
9621;3347;6
6125;6516;3
1985;5944;1
3989;837;10
451;9838;4
6832;4749;10
2713;2624;6
2148;870;6
3615;3643;10
4729;4975;3
3580;7695;10
4446;6250;4
5395;633;1
8924;6546;7
3131;8873;9
7882;6877;7
1320;4936;7
7393;5639;10
8643;599;5
8550;1947;9
2258;1408;1
2813;7617;2
4123;2255;6
4139;572;8
9806;4776;6
1506;3516;6
2226;1539;4
9350;7127;7
7071;5077;3
1113;6653;2
6504;4478;1
1899;4569;8
2485;9871;9
7447;4109;1
6281;4542;3
267;2076;8
6261;2384;5
6809;9557;7
2843;767;6
6868;3063;7
9707;5827;8
7230;6042;8
2281;1001;9
1740;9800;9
1143;3888;7
954;6138;2
5236;3264;10
4004;5925;1
4791;6807;5
6600;6908;3
1503;8630;3
1424;264;4
4327;5331;2
2954;5428;10
2164;1263;8
2542;878;3
4360;6649;7
2387;8913;7
6493;9874;2
8664;3427;7
4062;1672;2
5529;1175;1
4987;6403;8
8716;7368;1
413;8818;3
8551;6408;3
6754;6373;5
6950;8585;5
796;7375;9
5416;7810;6
8431;3366;8
7769;1986;8
1325;2688;6
6451;9077;9
8088;9734;1
81;1156;6
4730;2301;2
5466;8480;9
9464;7930;6
910;6470;5
4806;8788;4
8653;4126;6
2679;4779;4
9947;4008;2
5034;9237;7
846;8704;2
9473;1242;5
5559;6207;1
6145;339;8
3280;9780;9
1081;4392;1
9067;2130;10
2844;4474;3
7775;9998;7
5451;8018;6
4411;8138;8
6891;5138;7
2544;6639;8
1469;6043;4
8723;7442;8
5717;8744;2
3620;4881;9
7860;4138;10
9747;3435;10
6767;1886;7
3451;6223;2
549;1720;5
8823;2978;3
2732;1290;6
3160;5346;1
7481;2692;8
9757;2298;10
1487;9546;1
4968;4484;10
5449;5143;1
5702;9986;9
2818;8249;9
6331;4440;3
6250;977;1
6287;2913;6
459;5955;5
8229;4563;1
6002;1580;8
4621;5607;10
4085;7441;1
4029;4584;10
4925;1954;6
8261;7166;3
6972;5324;8
2495;2613;6
9912;4377;6
7580;9773;4
8401;1785;4
3500;8889;5
3191;1868;4
792;5659;9
8040;2736;10
823;6024;8
7559;5308;4
1554;6317;6
3258;2783;10
3971;1803;10
8045;57;1
4904;9321;7
8632;1350;9
496;8224;10
8136;8786;2
5885;8624;6
3619;7635;4
9251;8857;5
8094;3532;7
3478;9767;5
1810;558;7
3527;7548;2
4656;9309;7
5987;6857;3
6139;8054;3
493;5571;7
1110;7123;1
2119;641;7
5232;6903;8
9059;4049;2
9550;406;7
9693;2750;3
7144;1459;2
7861;8983;2
8658;7865;3
28;3074;9
7905;4930;9
9051;5242;7
5218;5375;4
9122;5179;5
8732;7028;9
3803;3694;3
4182;4904;7
6519;399;10
8328;1835;4
1248;5512;7
1010;3977;5
7350;2358;9
6049;4791;1
3623;2108;7
6351;5192;2
1142;9104;4
8992;5303;3
9144;4747;8
2302;8122;3
881;3263;1
6117;7962;8
3214;3581;7
890;5792;10
5217;7839;4
4804;8572;1
1007;3799;6
5949;3242;2
4983;3845;7
5515;6719;6
2607;4498;3
7194;9030;9
5743;3379;10
3956;8807;4
668;419;9
1041;429;1
2435;5949;3
499;2974;6
2498;719;2
1869;3324;8
7242;5101;8
9177;7504;3
1527;6452;4
6655;6555;2
4885;6565;6
8875;5891;10
1230;7568;5
